customer_id,order_date,order_value
1001,2024-01-07,225.05
1001,2024-03-03,74.73
1002,2024-05-19,35.21
1002,2024-04-18,19.22
1003,2024-02-25,77.47
1003,2024-01-07,172.76
1004,2024-04-17,73.93
1004,2024-05-30,90.68
1004,2024-01-02,230.05
1004,2024-02-10,212.46
1004,2024-03-28,90.58
1004,2024-02-25,287.59
1004,2024-03-27,39.64
1004,2024-04-07,38.05
1004,2024-03-29,185.08
1005,2024-04-27,165.51
1006,2024-01-21,170.09
1006,2024-04-02,177.43
1006,2024-01-18,23.29
1006,2024-02-28,234.19
1006,2024-01-21,258.04
1006,2024-01-26,120.24
1006,2024-04-26,194.35
1007,2024-02-11,117.35
1007,2024-02-23,204.35
1007,2024-01-19,186.65
1007,2024-02-13,164.9
1007,2024-03-03,57.39
1007,2024-04-07,88.28
1008,2024-02-26,208.54
1008,2024-01-15,76.42
1008,2024-01-09,243.46
1008,2024-04-12,87.64
1008,2024-02-24,274.81
1008,2024-05-25,264.15
1008,2024-03-21,71.66
1008,2024-05-07,124.73
1008,2024-04-27,51.43
1009,2024-03-04,226.05
1009,2024-05-17,86.2
1009,2024-05-29,134.25
1010,2024-04-12,114.98
1010,2024-02-05,157.76
1010,2024-01-24,229.18
1010,2024-01-29,54.32
1010,2024-02-10,239.7
1010,2024-04-18,182.96
1010,2024-04-08,120.67
1010,2024-04-29,163.44
1010,2024-05-21,259.63
1010,2024-01-03,207.28
1011,2024-05-17,227.75
1011,2024-03-28,42.35
1012,2024-02-10,141.58
1012,2024-03-08,291.85
1012,2024-02-15,157.23
1012,2024-01-28,262.45
1012,2024-03-17,254.08
1012,2024-05-09,186.6
1012,2024-02-09,118.44
1013,2024-05-18,286.51
1013,2024-05-15,276.36
1013,2024-03-23,151.7
1014,2024-04-02,264.83
1014,2024-03-19,79.44
1015,2024-05-25,284.62
1015,2024-01-22,222.25
1015,2024-01-18,293.62
1015,2024-05-16,232.09
1016,2024-05-01,284.59
1016,2024-02-12,86.87
1016,2024-04-18,289.67
1017,2024-02-21,216.76
1017,2024-04-12,298.59
1017,2024-04-05,137.05
1017,2024-05-12,140.93
1017,2024-03-04,75.16
1017,2024-03-27,16.1
1017,2024-05-21,76.73
1017,2024-02-26,12.09
1017,2024-01-16,76.39
1018,2024-03-25,30.55
1019,2024-03-12,204.0
1019,2024-02-24,166.38
1019,2024-05-26,177.1
1019,2024-03-03,237.54
1020,2024-02-18,37.35
1020,2024-04-20,112.75
1020,2024-04-15,145.44
1020,2024-01-14,205.28
1020,2024-01-26,27.58
1020,2024-03-27,242.17
1020,2024-01-28,82.11
1021,2024-05-17,140.1
1021,2024-04-18,63.21
1021,2024-04-28,82.44
1021,2024-01-20,138.51
1022,2024-01-26,24.67
1022,2024-05-18,252.45
1022,2024-01-24,278.65
1022,2024-03-01,58.23
1022,2024-05-04,149.59
1022,2024-04-12,271.71
1022,2024-02-12,119.9
1022,2024-04-09,86.91
1022,2024-04-26,92.72
1023,2024-05-04,54.89
1023,2024-03-16,73.13
1023,2024-01-15,177.96
1023,2024-05-18,27.68
1023,2024-03-21,26.58
1023,2024-05-29,148.27
1023,2024-05-15,55.66
1023,2024-05-10,33.23
1023,2024-02-17,29.87
1024,2024-03-01,127.09
1024,2024-05-25,81.4
1025,2024-01-11,189.62
1025,2024-04-17,200.64
1025,2024-05-24,161.61
1025,2024-03-07,69.24
1025,2024-03-21,79.22
1025,2024-04-11,47.95
1025,2024-03-17,142.6
1025,2024-01-19,12.7
1025,2024-05-24,298.87
1025,2024-01-19,165.91
1026,2024-03-08,48.41
1026,2024-03-30,265.45
1026,2024-03-03,117.16
1026,2024-02-10,137.07
1026,2024-05-19,214.03
1026,2024-05-15,12.27
1026,2024-05-21,96.82
1026,2024-01-27,282.29
1026,2024-02-04,86.7
1027,2024-05-21,55.08
1027,2024-03-13,185.4
1028,2024-02-22,209.37
1028,2024-03-08,156.57
1028,2024-03-05,272.55
1028,2024-01-14,36.77
1028,2024-04-18,250.51
1028,2024-01-12,11.03
1029,2024-03-08,56.86
1029,2024-04-23,169.99
1029,2024-04-19,172.66
1030,2024-01-20,284.06
1030,2024-02-08,168.22
1031,2024-05-29,170.23
1031,2024-04-20,46.96
1031,2024-03-19,115.75
1031,2024-01-11,270.69
1031,2024-02-23,207.8
1031,2024-01-27,112.57
1032,2024-04-14,292.41
1032,2024-02-09,278.47
1032,2024-03-01,260.74
1032,2024-02-15,265.61
1032,2024-01-07,62.01
1032,2024-03-26,236.89
1032,2024-04-15,242.65
1032,2024-03-04,87.37
1032,2024-01-28,120.94
1033,2024-04-30,74.51
1034,2024-03-30,98.51
1034,2024-02-28,74.65
1034,2024-02-19,125.56
1034,2024-03-12,260.66
1034,2024-03-12,111.83
1034,2024-05-10,125.91
1034,2024-05-17,106.03
1034,2024-01-08,43.45
1035,2024-02-15,178.37
1035,2024-03-08,21.09
1035,2024-06-01,136.02
1035,2024-03-21,136.55
1035,2024-05-10,43.54
1036,2024-02-18,83.87
1036,2024-04-21,10.49
1036,2024-05-17,209.19
1036,2024-02-20,115.62
1036,2024-01-18,285.17
1036,2024-03-25,190.72
1036,2024-02-01,218.73
1036,2024-03-17,157.07
1036,2024-04-14,104.59
1036,2024-03-16,170.78
1037,2024-04-17,202.83
1037,2024-04-07,206.42
1037,2024-02-14,188.5
1037,2024-03-18,127.76
1038,2024-03-18,93.2
1039,2024-05-28,185.93
1039,2024-03-23,144.85
1039,2024-04-23,205.93
1039,2024-05-10,147.22
1039,2024-02-13,201.07
1039,2024-03-13,159.48
1039,2024-03-26,37.08
1040,2024-03-20,75.15
1040,2024-02-20,52.73
1040,2024-01-12,81.0
1040,2024-05-01,187.27
1041,2024-04-26,130.19
1041,2024-05-27,66.39
1042,2024-05-06,125.9
1042,2024-02-07,200.26
1042,2024-01-02,268.87
1042,2024-01-28,235.74
1042,2024-02-26,61.01
1042,2024-05-12,144.72
1042,2024-05-22,82.27
1043,2024-04-26,48.67
1043,2024-04-28,203.6
1044,2024-06-01,102.02
1044,2024-04-23,187.67
1044,2024-05-09,133.75
1044,2024-05-20,139.31
1044,2024-02-10,225.66
1044,2024-05-01,140.52
1044,2024-03-04,253.56
1044,2024-03-11,232.09
1044,2024-05-13,150.53
1045,2024-03-11,137.56
1045,2024-03-14,78.0
1045,2024-03-26,102.72
1045,2024-05-18,33.37
1046,2024-02-29,121.08
1046,2024-02-09,214.86
1046,2024-01-17,130.31
1047,2024-05-18,145.12
1047,2024-01-16,69.98
1047,2024-04-17,122.95
1047,2024-05-29,284.36
1047,2024-01-06,258.45
1047,2024-05-27,120.31
1048,2024-03-31,96.6
1049,2024-04-17,166.08
1049,2024-05-19,241.96
1049,2024-02-26,151.59
1049,2024-03-10,136.39
1049,2024-01-08,122.77
1049,2024-04-13,220.01
1049,2024-04-29,276.67
1050,2024-05-16,17.82
1050,2024-04-10,181.65
1050,2024-01-07,34.34
1050,2024-04-19,49.35
1050,2024-04-28,62.7
1050,2024-03-07,119.94
1050,2024-02-24,141.86
1050,2024-03-27,230.76
1050,2024-04-07,90.69
1050,2024-04-17,83.16
